islay 0.1.0 - Othello/Reversi engine (movegen backend: hybrid (int+NEON))
type 'uci', 'go perft <depth> [nocache]', 'd', 'test', or 'quit'
info string pattern weights loaded: weights/v12.pat (v3, 15 stages x 167332)
info string option EvalFile = weights/v12.pat
stage,depth,score,standpat
8,3,-993,-1840
8,4,-1158,-1840
8,5,-1217,-1840
8,6,-1188,-1840
8,7,-743,-1840
8,8,-901,-1840
8,9,-662,-1840
8,10,-898,-1840
8,11,-1056,-1840
8,12,-1009,-1840
1,1,145,-760
1,2,61,-760
1,3,296,-760
1,4,17,-760
1,5,238,-760
1,6,361,-760
1,7,150,-760
1,8,380,-760
1,9,151,-760
1,10,385,-760
1,11,320,-760
1,12,343,-760
3,1,1247,1013
3,2,1343,1013
3,3,1208,1013
3,4,1417,1013
3,5,1255,1013
3,6,1391,1013
3,7,997,1013
3,8,965,1013
3,9,957,1013
3,10,845,1013
3,11,705,1013
3,12,933,1013
1,1,-205,-653
1,2,-95,-653
1,3,426,-653
1,4,368,-653
1,5,291,-653
1,6,367,-653
1,7,292,-653
1,8,457,-653
1,9,392,-653
1,10,599,-653
1,11,580,-653
1,12,788,-653
1,1,408,203
1,2,427,203
1,3,398,203
1,4,417,203
1,5,130,203
1,6,174,203
1,7,78,203
1,8,178,203
1,9,-45,203
1,10,78,203
1,11,-67,203
1,12,76,203
6,1,-857,-906
6,2,-903,-906
6,3,-493,-906
6,4,-532,-906
6,5,-508,-906
6,6,-123,-906
6,7,-174,-906
6,8,-296,-906
6,9,-269,-906
6,10,-363,-906
6,11,-390,-906
6,12,-366,-906
4,1,-559,-720
4,2,-465,-720
4,3,-465,-720
4,4,-428,-720
4,5,-603,-720
4,6,-447,-720
4,7,-381,-720
4,8,-313,-720
4,9,-208,-720
4,10,-121,-720
4,11,-98,-720
4,12,22,-720
10,1,2818,2665
10,2,2127,2665
10,3,2317,2665
10,4,1932,2665
10,5,2437,2665
10,6,2617,2665
10,7,3255,2665
10,8,3455,2665
10,9,3129,2665
10,10,3442,2665
10,11,3075,2665
10,12,3201,2665
4,1,1999,1570
4,2,1871,1570
4,3,2040,1570
4,4,1810,1570
4,5,1599,1570
4,6,1263,1570
4,7,1109,1570
4,8,1251,1570
4,9,1025,1570
4,10,1218,1570
4,11,1227,1570
4,12,1020,1570
9,1,2109,907
9,2,2089,907
9,3,3252,907
9,4,3134,907
9,5,3395,907
9,6,3357,907
9,7,3572,907
9,8,3733,907
9,9,3767,907
9,10,3983,907
9,11,3739,907
9,12,4066,907
11,1,826,361
11,2,691,361
11,3,1328,361
11,4,1221,361
11,5,1738,361
11,6,1710,361
11,7,1520,361
11,8,1717,361
11,9,1675,361
11,10,1909,361
11,11,1468,361
11,12,1593,361
11,1,683,833
11,2,12,833
11,3,192,833
11,4,-64,833
11,5,-513,833
11,6,-433,833
11,7,-619,833
11,8,-619,833
11,9,-771,833
11,10,-742,833
11,11,-866,833
11,12,-517,833
5,1,1179,501
5,2,974,501
5,3,1188,501
5,4,1736,501
5,5,1896,501
5,6,1796,501
5,7,1938,501
5,8,1951,501
5,9,1771,501
5,10,1463,501
5,11,1485,501
5,12,1504,501
8,1,3188,3177
8,2,2787,3177
8,3,3389,3177
8,4,3205,3177
8,5,4096,3177
8,6,4167,3177
8,7,4561,3177
8,8,4542,3177
8,9,4507,3177
8,10,4784,3177
8,11,4263,3177
8,12,4704,3177
4,1,427,383
4,2,1308,383
4,3,1088,383
4,4,1752,383
4,5,1215,383
4,6,1354,383
4,7,1114,383
4,8,1347,383
4,9,1169,383
4,10,1158,383
4,11,1122,383
4,12,1144,383
8,1,-931,-837
8,2,-1117,-837
8,3,-1383,-837
8,4,-1368,-837
8,5,-1847,-837
8,6,-2000,-837
8,7,-1801,-837
8,8,-1853,-837
8,9,-1608,-837
8,10,-1496,-837
8,11,-1474,-837
8,12,-1514,-837
10,1,1935,1708
10,2,1146,1708
10,3,1377,1708
10,4,960,1708
10,5,1999,1708
10,6,1742,1708
10,7,1903,1708
